Left_index	Right_Index	Label	Full_name
1	101	VCcm	Caudal_Medial_Visual_Cortex
2	102	VCl	Lateral_Visual_Cortex
3	103	VCs	Superior_Visual_Cortex
4	104	Cu	Cuneus
5	105	VCrm	Rostral_Medial_Visual_Cortex
6	106	ITCm	Medial_Inferior_Temporal_Cortex
7	107	ITCr	Rostral_Inferior_Temporal_Cortex
8	108	MTCc	Caudal_Middle_Temporal_Cortex
9	109	STCc	Caudal_Superior_Temporal_Cortex
10	110	STCr	Rostral_Superior_Temporal_Cortex
11	111	MTCr	Rostral_Middle_Temporal_Cortex
13	113	IPCv	Ventral_Inferior_Parietal_Cortex
14	114	IPCd	Dorsal_Inferior_Parietal_Cortex
15	115	SPC	Superior_Parietal_Cortex
16	116	SPCm	Medial_Superior_Parietal_Cortex
17	117	PCm	Medial_Parietal_Cortex
19	119	Sv	Ventral_Somatosensory_Cortex
20	120	Sdl	Dorsolateral_Somatosensory_Cortex
21	121	Sdm	Dorsomedial_Somatosensory_Cortex
12	112	ICC	Isthmus_Cingulate_Cortex
18	118	PCC	Posterior_Cingulate_Cortex
30	130	MCC	Mid_Cingulate_Cortex
40	140	ACC	Anterior_Cingulate_Cortex
22	122	Mv	Ventral_Motor_Cortex
23	123	Mdl	Dorsolateral_Motor_Cortex
24	124	Mdm	Dorsomedial_Motor_Cortex
25	125	PMrv	Rostral_Ventral_Premotor_Cortex
26	126	PMdl	Dorsolateral_Premotor_Cortex
27	127	PMdm	Dorsomedial_Premotor_Cortex
28	128	PFcdl	Caudal_Dorsolateral_Prefrontal_Cortex
29	129	PFcdm	Caudal_Dorsomedial_Prefrontal_Cortex
31	131	PFrvl	Rostral_Ventrolateral_Prefrontal_Cortex
32	132	Pfrdli	Rostral_Dorsolateral_Inferior_Prefrontal_Cortex
33	133	Pfrdls	Rostral_Dorsolateral_Superior_Prefrontal_Cortex
34	134	PFrd	Rostral_Dorsal_Prefrontal_Cortex
35	135	PFrm	Rostral_Medial_Prefrontal_Cortex
36	136	OFCvl	Ventrolateral_Orbito_Frontal_Cortex
37	137	OFCv	Ventral_Orbito_Frontal_Cortex
38	138	OFCvm	Ventromedial_Orbito_Frontal_Cortex
39	139	PFCvm	Ventromedial_Prefrontal_Cortex
41	141	Insula	Insular_Cortex
